ketone urne|ketne urie|mchc blood
heatitis vius igm antibody blood hav|qual hepatitis a bld igm antibody virus|ea nitrogn, ascitesascites
albumin, asci asctes|albumin, ascites ascites|blod quan c4
24 hr protein urine|protein hr 24 urine|potein s, functional blood
rbc, pleural pleural|number concentration (count/vol) rbc, pleural pleral|oter pg fl bod lui
opiate screen, urine urine|opiate screen, urine urine|ab, transglutaminase tissue iga blood
polys pleural|polys pleural|cd8 fluid body other
nitrogen urea blood|level urea nitrogen blood|urine eosinophils
cd45 bone marrow|cd45 marrow bone|tissue tansglutaminase ab, iga bld protein-glutamine gamma glutamyltransferase
basophils other body fluid|basophils other fluid body|fragmented blood cells
factor blood xi|blood xi factor|ascites ascites bicarbonate,
blood thyroglobulin serplas|thyroglbn thyroglobulin blood|eosinophils other body fluid
lactat dehydoenase (ld) blood|lactate dehydrgenase (ld) bld|ethanol, urine urine urn
chloride, urine urine|chlord, uine urine ur|cd4 other fluid body
quinidine blood|mass concentration quinidine blood|rbc urine
hematocrit, otherfluid flui body other percent|hematocrit, other fluid other body fluid|body other cd33 fluid
osmolality, ascites ascites|osmolality, ces ascites|synovial fluid fluid joint macrophage
hemoglobin blood|blood hemoglobin|blood antithrombin
urine cast hyalin|hyaline casts urine|bld flow o2
xiii factor blood|blood xiii factor|von blood factor activity willebrand
fluid other body cd19|fluid other body cd19|anti-mitochondrial blood antibody
factor blood vii|factor vii blood|c8 oer body fluid
24 mrate hr cretinie urine|24 hr ua creatinine urine|lucose, urine urine
urine urine quantitative sodium,|sodium, urine urine na+|albumin, ascites ascites
d38 her bdy flid|cd38 fluid bod oher|smllity, urineurine
gucose blod|glucose blood|base bld exess bld
howell-jolly bodies blood|howell-joly bodis blod|count, reticulocyte absolute blood
sedimenation rate blood red blood cells|sedimentation blood qnt rate|bicarbonate, pleural pleural
blood parasite smear blood|blood parasite smear blood blood|myelocytes blood
potassium, ascites ascites|ascies potassium, ascites|bacteria urine
triglycerides, ascites ascites|triglycerides, chemistry ascites ascites|hematocrit, csf cerebrospinal fluid (csf)
blod gastrin|gastn bood|ascites lymphocytes leukocyte
blood cd7|blood cd7|crystals phosphate calcium urine
cd64 bone marrow|cd64 mrrw bon|bld point in time bands
other cd8 body fluid|cd8 fluid body other|cholesterol crystals urine
creatinine urine urn clearance|creatinine urine clearance|blood cells bite
ascites peritoneal fluid triglycerides, ascites|ascites mass concentration triglycerides, ascites|carbaaepine bld
parathyroid hormone blood|blood arathyroidoron|bld estradiol
other cd22 body fluid|cd22 ther fluid bdy|bld point in time bands
ldbody fuid fluid body other|ld, fluid body other body fluid|howell-joll bodis bld
body other cd56 fluid|othe cd56 bdy flid|igm screen a virus hepatitis antibodyblood
cell pasma ascites|plasma ascites|urine urine quantitative sodium,
immunoglobuli  blood|immunoglobulin g blood|cd33 oher boy fluid
blasts blod|blasts bld|mrrow bone c13
cratinineblood|creatinine blood|mesothelial cells joint fluid
ellitocytes blood|elliptocytes blood|blood cd117
porphobilinogen screen urine porphoblngn|screen porphobilinogen urine|osmolality, ces ascites
blood phenobarbital drug/toxicology|phenobarbital blood|cd0 blood
protein/creatinine urine ratio|proein/cretinine ratio urine|random bilirubin, total, ascites ascites
hemoglblin hgb s bld|hemogloblin s blood|urine urinmucos
osmolality, blood measured|osmolality, measured blood|urine yeast
renal epithelial cells urine|cells epithelial renal urine|body osmolality, fluid other body fluid
cd56 blood|blood cd56|benzodiazepine screen, urine urine
fluid other body cd19|cd19 other body fluid|bld apamycin bld
factor x blood|factor blood x|triglyceidesblood
blood cd14|blood cd14|urine hemosiderin
blood cd14|cd14 blood|rbc, pleural pleural
thyroid peroxidase antibodies blood|antibodies thyroid microsomes peroxidase thyroid blood|r rne casts
urine appearance urine|urie apperance urine|ascites basophils
basophils fluid joint|basophils joint fluid|calcium, fluid body other body fluid
blood polychromasia|polycromasia blo|serum or plasma creaine kinase (c) blood
blod rapmycin|bld apamycin bld|benodiazepine screen blood
rine urine amylase,|amylse, urin urie|hemogloblin alood haemoglobin
ck-mb index blood|ck-mb index serum bld|mucous urine urine
bloo functinal fibrnogen,|functional fibrinogen, blood|urine ph
c-reactive blood protein|c-reactive qnt protein blod|tyrosne crystls uine
cd3 other fluid body|cd3 ther fluid boy|count, reticulocyte absolute blood
cd4 body other fluid|cd otherbd fluid|osmolality, urine ur urine
bilirubin indiret blood|bld indirect bilirubin, serum|glucose, pleural pleural
ascites eosinophils|eosinophils ascites|blood protein c-reactive
amylase, ascites ascites|ascites ascites ascitis amylase,|total protein, pleural pleural
sodium, ascites ascites|sodium, ascites ascites|blood amylase
hemoglobin a1c glycosylated hemoglobin blood|absolute a1c endocrinology blood|urine cells epithelial
blood parasite smear blood blood|blood nominal parasite smear blood|thyroid stimulating hormone blood
bld prolactin|blood prolctin|rbc asts urin
sickle cells blood|sickle cells blood|creatn quan kinase (ck) blood
triglycerides, pleural pleural chemistry|pleral triglycries, pleura quant|ascites ascitic fluid bc,ascites
p2, flid fuidother body body|po2, body fluid other body fluid|sedimentation rate blood
c, protein antigen blood|protein blood antigen c,|hematology/cell counts pleural cells plasma
blod gastrin|gastrin blood|fluid other body cd7
other hematocrit, fluid other body fluid|hematocrit, other fluid other body fluid|body manl other macrophage fluid
etadone, universallaborders urine urine|drugs of abuse methadone, urine urine|lymphs (csf) fluid cerebrospinal cerebrospinal fl
urinrine gnesium,|magnesium, quant urine urine|hypersegmented neutrophils blood
proei urne|protein urine|plasmacyte plasma (csf) fluid cerbrospnal
qnt mcv bo|bood mcv red blood cells|choles chlesterol, ldl, calclated blood
osmolality, stool stool|bowel movement osmolality, stool stool|bloo othercells hematology/cell counts
immunofiatin blood|bld serp mmunofixation|sicke bloo micro cels
prot. electrophhrs eectrphoesis ure urine|urine electrophoresis, urine prot.|fluid other body cd7
calcium, body fluid body other fluid|calcium, fluid body other body fluid|absolute cd8 count blood
random phosphate, body fluid other body fluid|phosphate, body fluid other body fluid|total, bilirubin, ascites ascites
c3 blood ser|c3 blood|bilirubin urine
blood myelocyes|myelocytes blood|abs rbc, ascits ascite
ua urine marijuana|urie marijuana drugs|bone cd13 marrow
potassium, ascites ascites|ascies potassium, ascites|basophils qnt blood
blood c4|c4 bld|sodium, ascites ascites
other lymphocytes atypical body fluid|atypical lymphocytes fluid body other|yong cells blood
cd3 cells, percent blood|boo cels, ercet cd3|cd33 fluid body other
blood cd11c|blood cd11c|polys cerebrospinal (cerebrospinal fluid) fluid
cells mesothelial joint fluid|mesothelial fluid joint cells|platelet smear blood
cd4 bone marrow|marrow bone cd4|blood cyclosporin
blood inr(pt)|inr(pt) blood|methemoglobin blood
mcytes blood|mnocytes bod|plasma ascites
bon cd23 marow|marrow bone cd23|eelial cells urine
body he polys fluid|other polys body fluid|rbc uine
bld neuts band bands|bands blood|urne spem
antibody cell anti-parietal blood|ati-parita cell antbody blood|ilirubin boy total, fluid ther body pt luid
polys ascites|ascites polys ascitic fluid|marrow bone cd64
cd20 blood|blood cd20|uric acid, urine urine
polycromasia blo|polychromasia blood|body pulmonology body fluid other pco2, fluid
pleural pleural chloride,|chloride, pleural pleural|macroovalocytes blood
carboxyhemoglobin blood|carboxyhemoglobin blood|fluid other body cd19
marrow bone cd23|bon cd23 marow|cd59 one arow
lactate blood|substance concentration lactate blood|24 hr uine protein
pleural triglycerides, pleural|triglycerides, pleural pleural chemistry|chloride, stool stool
suds anti-nuclerantibodybloo|anti-nuclear antibody blood point in time|bone cd33 marrow
bld auto monocytes|mnocytes bod|ascites ascites amylase, gastro
blood cd41|blood cd41|spinal fluid <albumin> ceebrospinl fuid (csf)
urine leukocytes|urine leukocytes|atypical lymphocytes (csf) fluid cerebrospinal
cd8 fluid body other|cd8 other body fluid|blood cd56
wb glucoseblood|bld endocrine glucose|peural leukocyte onos
hepatitis c antibody virus blood|hepatitis c virus antibody blood|albumin, body fluid other body fluid
blood oxygen|oxygen blood|rbc urine
sedimentation rate blood|velocity dmentaionrae blod|marrow bone cd103
carcinoembyronic antigen (cea) blood|crinoembyrnic antign(cea) plsm lood|mch blood
bicarbonate bld|blood bicarbonate|bo cd11 marow
leuk atypcal lymphcyts joit fuid|atypical joint lymphocytes fluid|bilirubin, universallaborders direct blood
velocity dmentaionrae blod|sedimentation blood qnt rate|cd117 bloo
factor blood viii|factor viii blood|total protein, blood
bone cd59 marrow|bone cd59 marrow|schistocytes blood
hyaline casts urine|urine cast hyalin|absolute blood count cd4
nticarolipin blood igm anibod|anticardiolipinantibody m blood|antibody a virus igm hepatitis blood
hematocrit, volfr calculated bld|hematocrit, caculated blood|ca-125 blood
blood whole sodium, blood|sodium, whole blood blood|tyrosne crystls uine
porphobilinogen screen urine|screen porphobilinogen urine|amylase, body fluid other body fluid
chloride, ascites ascites|chloride, ascites ascites|blasts blood
bld hmaocrit elect|blod auto hemaocrit|centromere blood
pg other body fluid|fluid other body pg|cysteine crystals urine
follicle simulatng homone blo quant|follicle stimulating hormone blood|pecet cells, cd blood
promyeloytes blood heme|bld promyelocytes|ascites nitrogen, uea point in time ascites
occult blood, stool|blood, occult stool|anticardiolipinantibody m blood
ptassium, point in time whole blood blood|potassium, whole blood blood|cd5 other body fluid
macroovalocytes blood|macroovalocytes blood|waxy urine casts
burr cells blood|burr echinocytes els blood|wbc, csf (csf) fluid cerebrospinal
stiulating thyroid homne blood|hormone throidstimulating loo serum|calcium phosphate rne crystals
blood phenobarbital|phenobarbital blood|fluid other body cd10
substance concentration lactate blood|lactate l-lactate blood|24 hr creatinine urine
hemosiderin screen urine|hemosiderin urine|plurl wbc, abs pleural
ptt blood|pttblood|fluid joint pnm bands
lymphs cerebrospinal fluid (csf)|lymphs (csf) fluid cerebrospinal cerebrospinal fl|bodies fat urine urine
other cd15 body fluid|cd15 other body fluid|urea nitrogen blood
fetal hemoglobin blood|fetal hgb f hemoglobin bld|blood polychromasia
hepatitis b antigen surface blood|hepatitis b surface antigen blood|sodium, stool stool
lymphoctes, percent blo|ercent lymphcyts, blood|blood antithrombin
cd3 cells, blood percent|cd3 cells, percent blood|reticulocyte count, automated blood
blood cd55|cd55 blood|theopylline bloo
whole potassium, blood k blood|blood whole blood quant potassium,|blood thyroglobulin serplas
bands joint fluid|flui joit bands|glucose, urine urine
blood protein c-reactive|c-reactive blood protein|bicarbonate quan blood
cellsblood blood erythrocyte red|red bld cells bld|blood measured osmo osmollty,
hrmne se bindng globulin blood|hormone sr sex biing gobulin blood|osmolality, measured blood
amylase, body fluid other body fluid|amylas, bod bodies flid other boy fluid|cd19 marrow bone
chloride, ascites ascites|chloride, ascites ascites|xii factor blood
marrow bone cd23|cd23 bone marrow|b hepatitis surface antibody sr bld
cd13 blood|cd13 lood|bld pulmonary ph
blood sodium|odium bloo|bicarbonate, pleural pleural
blood polychromasia|polychromasia blood|anisocytosis blood
cd5 blood|cd5 blood|cd64 bone marrow
blood quant ntprobnp|blood ntprobnp plasma|poikilocytosis blood
d15 blood|blod cd15|factor blood xi
serpl phenytoin bld|phenytoin lood|antigen c, protein blood
c2other fluid body|cd22 other body fluid|basophils ascites
urine casts broad|broad casts uine|eosinophils joint fluid
anticrdioipin blood gm anibody|nticarolipin blood igm anibod|cd10 ne marrow
monocytes joint fluid|fluid joint monocytes|protein s, antigen blood
anti-nuclear antibody blood|anti-nuclear antibody blood point in time|urine hemosiderin
r rne casts|r casts urin|urine hemosiderin
anticrdioipin blood gm anibody|aticardiolipn igm antbody blood|abs rbc, ascits ascite
hypersegmented blood number concentration (count/vol) neutrophils|hypesegmented neutrohils bood|volume tidal blood
triglycerides, chemistry ascites ascites|ascites mass concentration triglycerides, ascites|anti-smooth muscle antibody aby blood
cd4 cels, prcet blod|blood cells, percent cd4|body other cd33 fluid
bone cd16/56 marrow|cd16/56 bone marrw|total urine urine protein,
phenytoin, percent free blood|phenytoin, blood free percent|chloride, pleural pleural
blood cd16|blood cd16|marrow bone cd7
screen, benzodiazepine urine urine|benzodiazepine screen, urine urine|schistocytes blood
acd urc bld|uric sr acid blood|other casts, urine urine
s hemogloblin blood|hemogloblin s blood|cholesterl, pleural pleual
ascites leukocyte wbc, ascites|wbc, ascites ascites|stiulating thyroid homne blood
urine other casts, urine|other casts, urine urine|dhea-sulfate blood
chloride, stool stool|chlorid, stool sool|rine bacteria
amphetamine screen, urine urine|urn amphetamine screen, urine urine|theophylline blod
basophils blood|blood basophils|holestro, ody othe fuid body fluid
calculated bicarbonate, whole blood blood|calculated bicarbonate, whole quantitative bld bld|c3 blood comp
pl lucose bloo|gucose blod|protein blood antigen c,
burr echinocytes els blood|echinocyte blood cells burr|microcytes blood
ascites monoytes|ascites monocytes|creatine kinase (ck) blood
sickle cells blood|sickle cells bld|urine sulfonamides
joint fld macropha joint fluid|joint macrophage fluid|atypical lymphocytes ascites
base excess blood|base bld exess bld|amylase, amyl ascites ascites
blood methemoglobin|blood methemoglobin mass fraction|blood centromere
pr urine fat bodies urine|une ft ne bodies|lymphocytes absolute bld
lbuin, bo fluidothebodyfluid|albumin, body fluid other body quan fluid|broad casts uine
co2 total calcuated bood|calculated total co2 blood|creinie b/f ohe flui body body luid
heinz body prep blood|bod heinz bodypre bld|factor ii blood
urine blood|urine blood|blood thrombin
musleantibody serology antsmoth blood|anti-smooth muscle antibody aby blood|blood alpha-fetoprotein
myelocytes blood|blood myelocyes|burr echinocytes els blood
mesothelial cells lkcs other body fluid|mesothelial cells other body fluid|fluid other body cd7
hiv antibody blood|hiv ntibdy blood|creinie b/f ohe flui body body luid
urie biirubin|urine bilirubin|total chemistry protein, pleural pleural
blasts cerebrospinal fluid (csf)|blasts cerebrospinal fluid (csf) spinal fl|lactate dehydrogenase (ld) blood
cholesterol ratio (total/hdl) bld|cholesterol ratio (total/hdl) blood|red bld corpuscle blod hematocrit
lymphocytes ascites|ascites lymphocytes|po2 bld
ascites lipid cholesterol, ascites|peritoneal fluid cholesteol, ascites ascies|atypical lymphocytes ascites
cd0 blood|blood cd10|heatitis vius igm antibody blood hav
whole blood barbiturate screen blood|barbiturate screen blood|creatinine blood
chloride blood|blood chloride cl-|cd64 bone marrow
polychromasia bld|polycromasia blo|myelocytes cerebrospinal fluid (csf)
e alcuated teststoblood|calculated fr free testosterone blood|urinevolume, total rine
lod dhea-sulate|dha-slfate blood qnt|cholesterol ratio (total/hdl) blood
chloride quant wole blo blood|whole chloride, blood blood|anti-smooth muscle antibody blood
body other cd5 fluid|cd5 other body fluid|absolute count cd4 blood
oncology anigen carcinoembyroni (cea)blod|carcinoembyronic blood (cea) antigen|urobilinogen urine
rbc, oint fluid number concentration join fluid|rbc, jont fluid joint fluid|atypical lymphocytes other body fluid
hepatitis bld surface antigen b|hepatitis hep b blood surface antigen b|reticuloyte count red bld corpusles atomated bood
other cd22 body fluid|cd22 other body fluid|mesothelialcells fluid random cerebrspinal (csf)
cd23 other fluid body|body other cd23 flid|cholesterol ratio blood (total/hdl)
blood d-dimer|blood d-dimer|bloo meamyeocytes quan
cd117 bone marrow|cd117 marrow bone|urine phospate, urine
urine urine bicarbonate,|bicaronate, urine uine|nrbc csf (csf)
ph blood|bld pulmonary ph|amylase bloo catalytic concentration
microcytes bood|blood microcytes|fluid other body cd16/56
quan alpha-fetoproteinblod|bld serum or plasma alpha-fetoprotein|mglobin, random urine ure
mcytes blood|monocytes blood|velocity dmentaionrae blod
blood testosterone|blood testosterone random|blood parasite smear blood
hematocrit, otherfluid flui body other percent|hematocrit, other body other fluid fluid|factor blood inhibitor viii
free calcium blood|substance concentration ree blood calcium|lactate dehydrogenase, ascites ascites
blood s, antigen protein|protein s, antigen blood|urine protein
red bld corpuscle blod hematocrit|hematocrit blood|ethanol, urine urine urn
epithelial cells urine|urine cells epithelial|polys cerebrospinal fluid (csf)
rbc casts urine|rbccasts urine|follicle hormone stimulating blood
mchc blood|elect blood mchc|mesothelial cells other body fluid
cd4 cels, prcet blod|cd4 cells, percent blood|bicarbonate, ascites ascites
sperm urine|sperm urne|fl eosinophils other body fluid
rbc uine|rbc urine|blood inr(pt)
total protein, pleural pleural|pleural protein, pleural pr total|brad casts rine
other cd16/56 body fluid|other cd16/56 body fluid|ascites monocytes
blo cd10|cd10 blood|hemoglobin fetal hematology/cell counts bld
calculated free testosterone blood|testosterone, free blood|large platelets blood
reticulocyte ount, absolut blood|reticulocyte count, quantitative absolute blood|howell-jolly bodies blood qualitative
anisocytosis whole bld bld|anisotosi hematology/cell counts blood|bilirubin, direct blood
blood xiii factor|xiii factor blood|ascites basophis
potassium body other fluid|potassium other body fluid|blood gradient alveolar-arterial
mesothelial fluid joint cells|cells mesothelial joint fluid|bld thyroglobulin serp
absolute cd8 count blood|absolue 8count blood|atypical lymphocytes other body fluid
acanthocytes blood|acanthocytes blood micro|bnds fui joint leukocyte
prostate specific antigen blood|prostate specific quant antigen bld|thrombin blood
phosphate, urine urine|urine phospate, urine|cd1c bone marow
urine crystals cysteine|crystals cysteine urine|ascies potassium, ascites
thyroxine (t4) blood mass concentration|thyroxine (t4) levothyroxine blood|bilirubin, fluid body fluid other body total,
% hemoglobin a1c blood|mass fraction absolute a1c blood|blood monocytes
other monos body fluid|mono random other body luid|c8 oer body fluid
bone cd13 marrow|marrow bone cd13|blood centromere
antibody a virus igm hepatitis blood|igm screen a virus hepatitis antibodyblood|eectohoresis, prot. urine urne pr
blod nitrgen urea|level urea nitrogen blood|blood tobramycin
alpha amylase pleural amylase, pleural|amylase, pleural pleural|blood c4
bld thyroglobulin serp|thyroglbn thyroglobulin blood|percent cells, cd4 blood
uric acid urine crystals|uric acid rysals uri|cholesterol, blood measured ldl,
ntprobnp blood|ntprobnp bld|cells fragmented blood
hba hemgloblin a blood|hemogloblin alood haemoglobin|cd45 blood
urine crystals, urine other|urine crystals, urine other|cd45 marrow bone
hiv antibody bloo|antby blood antibody hiv|serp hdl cholesterol, bld
creatinine, joint fluid joint fluid|creatinin, joint flui jointfuid|ph boy ohr bodies fluid
calcium, fluid body other body fluid|calcium, body fluid other body fluid pt|thyroxine (t4) levothyroxine blood
quantitative bicarbonate, stool stool|qnt bicarbonate, stool stool|opiate screen, urine urine
absolute blood count cd4|absolute cd4 count blood|fibrin degradation products blood
blood ammonia amon|blood ammonia|bloo functinal fibrnogen,
blood cd56|blood cd56|whole blood barbiturate screen blood
urine fat bodies urine point in time|urine fat bodies urine|sodium, urine urine na+
bleeding time blood|leeding time blod|bilirubin crystals urine
rbc uine|urine rbc|bone cd13 marrow
anti-neutrophil cytoplasmic antibody blood|anti-neutrophil cytoplasmic qualitative antibody blood|qualitative acnhocytes blood
cholestel, body luid other fluid body choles|holestro, ody othe fuid body fluid|rbc, pleural pleural
abumin, pleural plurl|pleurpleural albumin,|cd138 body other fluid
osmolality, blood measured|blood measured osmo osmollty,|blood parasite smear blood
fluid bod fmc-7other|fm- other boyfluid|blod gastrin
reticulocyte count, absolute bood|reticulocyte count, quantitative absolute blood|blood cyoglbuln
nitrogen urea blood|blod nitrgen urea|red blood cells blood number concentration
cortisol blood|cortisol blood|manesimbloo
qnt ca-125 bld|ca125blood|blod quan c4
whole chloride, blood blood|chloride, whole blood blood|white bld cells bld
ascites ascites wbc,|wbc, ascites ascites|immunofixaton, urine narrative urine
blood phenobarbital drug/toxicology|blood phenobarbital|total chemistry protein, pleural pleural
marrow bone cd1|cd14 bone marrow|centromere blood
heinz prep dy blood|point in time heinz body prep blood|amphetamne amph urineurie screen,
random dgoxin blood|digoxin o|albumin, urine urine
albumin, body fluid other body fluid|albumi, bdy fluid quantitative other bodyfluid|anti-neutrophil cytplamicantibody blood
pappenheimer ql bodies bld|bodies pappenimr bld|ea nitrogn, ascitesascites
blood cd41|cd41 blood|amphetamine screen, urine urine
cd4 other fluid body|cd4 other body fluid|<albuin>cerebrospinafluid(cerebrospinal fluid) cerebrospinal fl
mcv blood|qnt mcv bo|cryoglobulin blood
tobramycin blood|blood tobramycin nebdin|hepatitis c virus antibody blood
hemoglobin f elp blood|f hemoglobin blood|nrbc cerebrospinal fluid (csf)
cd59 one arow|cd59 bone marrow|pleural bicarbonate, pleural
lucose, urine urine|urine glucose, urine|peep blood
mesothelial cells other fluid body|cells mesotelial oter body flui|blood methemoglobin
plasma cerebrospinal (csf) fluid|plasmacyte plasma (csf) fluid cerbrospnal|chloride, ascites ascites
chloride, whole blood blood|bld whole bld chloride, level|irect biliubin, bld
24 hr urine creatinine|24 hr creatinine urine|creatinine, pleural pleural pleural
bld whole bld chloride, level|chloride quant wole blo blood|hla-drbood
ascites poly|ascites polys|blood factorvii
renal epithelial urine cells|renal epithelial cells urine|random bilirubin, total, ascites ascites
dhea-sulfate blood quant|dhea-sulfate blood|wbc urine
cd3 other body fluid|cd3 body other fluid|blood ql anidepessant screen tricycli
velocity dmentaionrae blod|sedimenation rate blood red blood cells|qualitative acnhocytes blood
other type fluid body fluid|fuid other te body fluid|gamma blood glutamyltransferase
urea nitrogen, urine urine|urea nitrogen, urine urine|cd33 fluid body other
c4 blood|c4 bld|schistocytes bod
number concentration (count/vol) rbc, pleural pleral|rbc, pleua pleural|carboxyhemoglobin blood
blood prolctin|prolactin plasma blo|anti-smooth muscle antibody aby blood
cholesterol ratio blood (total/hdl)|cholesterol ratio (total/hdl) blood|phenytoin, percent free blood
amphetamne amph urineurie screen,|screen, ql amphetamine urine urine|cd56 other fluid body
anisocytosis blood|anisocytosis blood whole blood|atpical lympocytes lymphs cererospinl flud (csf
blood quan ntprobnp|ntprobnp bld|protein urine
potein s, functional blood|s, protein functional blood|plasma amylase bld
cd0 blood|cd10 blood|basophils bld elect
pleural pleural albumin,|pleural albumin, pleural|blood deadation products fibrn
cholestel, body luid other fluid body choles|holestro, ody othe fuid body fluid|urine blood
bld mch|random mch bld|white blood cell ells plama blood
urine urie volume,total|urine volum, urine total|polys other body fluid
prolactin blood|blood prolctin|hepatitis b surace antiboyblood
immunoglobulin m blood qnt|immunoglobulin m blood|cd4 cells, percent blood
creatinine, joint fluid joint fluid|synovial fluid creatinine, joint fluid joint fluid|hemogloblin alood haemoglobin
gravity specific urine|gravity specific urine|howell-joll bodis bld
bicarbonate, urine quant urine|bicaronate, urine uine|random cells young blood
ascites glucose, ascites|glucose, ascites ascites|free calcium blood
carboxyhemoglobin blood|blood carboxyhemoglobin|blood cortisol
aticardiolipn igm antbody blood|nticarolipin blood igm anibod|anti-gliadin blood iga antibody,
c4 blood|blood c4|protein blood antigen c,
gravity specific urine|specific gravity urine|eosinophils joint fluid
ld, body fluid other fluid body quantitative|ld, body fluid other body fluid|hatolobin blod
blood parasite smear blood blood|nominal blood parasite smear blood|infectious disease hepatitis a virus antibody blood
ketne urie|urne ketone|mesothelial fluid joint cells
phosphate, body fluid bf other body fluid|quan phosphate, body fluid fluid body other|urie sulfonamides
blood total co2 calculated level|ctco2 alculated total co blood|sickle cells blood
bilrubin urine rystals|ilirin cryals uine|thyroid stimulating hormone blood
joinfud eosinophils white blood cell|fluid joint fld joint eosinophils|point in time heinz body prep blood
promyeloytes blood heme|bld promyelocytes|pleural triglycerides, pleural
bld ca-125 arbitrary concentration|serp ca-25 bld|bood mcv red blood cells
cerebrospinal csf hematocrit, fluid (csf|hematocrit, csf cerebrospinal fluid (csf)|uric acid urine crystals
rbc uine|rbc uine|blood d-dimer
urine csts,oher rne|other casts, urine urine|potassium, ascites ascites k+
fragmented cells blood|fragmetd wb cells lood|total protein, blood
nucleated red cells blood|nuc uclated red cellsblood|eelial cells urine
body other cd138 fluid|cd138 body other fluid|amylase, ascites ascites
sickle cells blood|sickle cells blood|plsm bld total calcum
whole potassium, blood k blood|potassium, whole blood blood|transitial eitheial cells urie
fluid csf cerebrospinal wbc, (csf)|wbc, (csf) crebrospinal fluid csf|marrow bone cd1
marijuana urine|urine arijuana marijuana|blood cd22
ld, fluid body other body fluid|ld, bod fluid other body fluid|blood arbamzepine level
bloo othercells hematology/cell counts|other cells bld|osmolality, stool stool
screen blood lymphocytes atypical|atypcal lmphocytes bood|imunofiaion blood serplas
factor x blood|factor blood x|phenytoin, free percent blood
absolute blood count cd4|count cd4 absolute blood|platelet smear # blood
pleural eosinophils|eosinophils leukocyte pleural|anti-neutrophil cytoplasmic qualitative antibody blood
blood protein c-reactive|c-reactive protein blood|s, protein antigen blood
blood microcytes|microcytes bood|basophils bld elect
c3 blood|c3 blood comp|fluid other bdy macrophage
cd33 other body fluid|cd33 oher boy fluid|other body fluid sodium, body fluid
immunofiatin blood|random immunofixation blood|pleural pleural chloride,
lymphocytes blood|lymphocytes blood|cd10 blood
yeast urine|urine yeast|cd20 blood
ptassium, point in time whole blood blood|blood whole blood quant potassium,|cd33 marrow bone
ascites nitrogen, uea point in time ascites|urea nitrogen, ascites ascites|blood antibody anti-nuclear
bld melocytes|myelcytes blood quant|blood qnt quinidine
blood cd7|blood cd7|triglycerides blood
urie marijuana drugs|marijuana urine|uric urine acid, urine
r(pt) ood|inr(pt) blood|xii factor blood
gentamicin bld|blood point in time gentamicin|creatinine, joint fluid joint fluid
immoglobulin m blood|m immunoglobulin quant blood|ascites glucose, ascites
blood cd15|d15 blood|thyroxine (t4) blood mass concentration
eosinophils leukocyte pleural|pleural eosinophils|tyroine crystls ri
maroovalocytes blod micros|macoovalocyts blood|plurl wbc, abs pleural
bands fluid joint|bands joint fluid|random bilirubin, total, ascites ascites
ansferrin plasma blod|capacity, binding iron total bld point in time|fctor  lod
lod cont whole blood platelet|count platelet bld|cd7 fluid body other
other cd16/56 body fluid|fluid other body cd16/56|fragmentedcells bld
blood parasite id smear blood|blood parasite smear blood blood|absolute cd8 count blood
bicaroate blood|bicarbonate bld|polys other body fluid
gamma blood glutamyltransferase|gamma glutamyltransferase blood|cd4 body other fluid
urine eosinophils|urine eosinophils|pl lucose bloo
estimated gfr (mdrd equation) bld|estimatedfr (mdrdeqution) blood|potassium, whole blood blood
bld blasts|blasts blood|albumin, urine quan urine
lasma ther body fluid|other plasma body fluid|eectohoresis, prot. urine urne pr
ilirin cryals uine|crystals bilirbin uine|tidal volume blood
fctor  lod|factor x blood|waxy casts urine
chloride, urine urine|chloride urine cl- urine|cd15 other fluid body
plasma cerebrospinal fluid (csf)|cerebrospinal fluid) cerebrosinal flui cerebral spinal fluid plasma|lactate dehydrogenase (ld) blood
blasts fluid cerebrospinal (csf)|blasts cerebrospinal fluid (csf)|antibodies anti-thyroglobulin blood
cd117 bone marrow|cd117 marrow bone|urine cast hyalin
acid uric blood|urc blood acid|acanthocytes blood
cysteine crystals urine|ystalsurine cysteine|creatinine, pleural pleural pleural
blood myelocyes|myelocytes blood|lactate dehydrogenase (ld) blood
granular casts urine|granular uie casts|nrbc joint fluid
cd138 other fluid body|cd138 other body fluid|glucose, csf glucoseur cerebrospinal (csf) fluid
blood cd23|cd23 blood|rbc uine
sex shbg hormone globulin binding blood|hormone sr sex biing gobulin blood|chloide, ascts quant ascites
basophils fluid joint|joint basophils basophil fluid|anti-tyroglobuli antibodies blood quant
blood amylase|amylase bloo catalytic concentration|blood thrombin
blood po2|po2 blood|bilirubin, total, pleural pleural
immunoglobulin pl a blood|immunoglobulin a blood|amorphous crystals urine
bld estradil|blood estradiol universallaborders|mrous crystals urine
urinrine gnesium,|urineurine manesium,|c-reactive qnt protein blod
othe body fluid sodum, boy flid|sodium, body fluid other body fluid|cd10 blood
fragmented blood cells|cells fragmented blood|fl eosinophils other body fluid
glucose, pleural pleural|pleura pleurl glucose, point in time|acid uric blood
thyroxine (t4) levothyroxine blood|thyroxin blod t4)|% hemoglobin a1c bod
c3 blood|c3 blood ser|nominal blood parasite smear blood
atypical joint lymphocytes fluid|fluid lmphocytes joint atypial|blood cd41
c hemoglobin blood|hemoglobin c blood|blood saturation oxygen
urine fatty|fatty urine|granular uie casts
