LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2,SCALE_TYP
86630-1,send document that conforms to level 3 ems r1 template,,,attach; attach.modifier; emergency medical service(s); iii; levels; levl; lv; lvl; point in time; random; scope.mod.doc temp; send doc conforms l3 ems r1,-
86633-5,pain panel [hoosjr],,,1 week; hoos jr; pan; panel.survey.gnhlth; panl; pnl; survey; survey.gnhlth,-
8663-7,cigarettes smoked current (pack per day) - reported,cigs smoked (pack/day) nrate reported,,cigs smoked (pack/day); count/time; h+p; h+p.hx; nrate; number rate; number rate = count/time; p prime; point in time; qnt; quan; quant; quantitative; random,Qn
86663-2,hiv referral information panel [fpar],,,aids; family planning annual report; hiv referral pnl; human immunodeficiency virus; pan; panel.survey.hhs; panl; pnl; point in time; random; survey; survey.hhs,-
86667-3,level of tumor invasion in skin melanoma qualitative by clark,tumor invasion level mel ql clark,level of tumor invasion clark ql (skin melanoma),dermatologic; epidermis; finding; findings; integument; levels; levl; lv; lvl; ordinal; path.histo; pathology; point in time; ql; qual; qualitative; random; screen; skn; tumor invasion level,Ord
86669-9,mitotic figures [#/area] in cancer specimen by light microscopy,mitotic figures #/area ca spec micro,mitotic figures lm (cancer specimen) [#/area],#/area; ca; ca spec; lm; micro; micros; microscopic; mitoses; number areic; path.histo; pathology; point in time; qnt; quan; quant; quantitative; random; spec,Qn
86674-9,other health conditions during assessment period [cms assessment],,,centers for medicare and medicaid assessment; othr; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
8670-2,history of family member diseases,family member diseases hx,,fam mem; family member diseases hx; h/o; h+p; h+p.hx; history; hx; nominal; p prime; point in time; random,Nom
86703-6,porcine respiratory coronavirus rna [cycle threshold #] in specimen by naa with probe detection,prcov rna ct spec qn naa+probe,porcine respiratory coronavirus rna naa+probe (specimen) [threshnum],3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; corona virus; dna nucleic acid probe; dna probe; id; infectious disease; infectiousdisease; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; misc; miscellaneous; naa+probe; naat; nasba; nucleic acid sequence based analysis; other; pcr; point in time; polymerase chain reaction; pork; prcov; probe amp; probe with ampification; probe with target amplification; qbr; qnt; quan; quant; quantitative; random; ribonucleic acid; sda; spec; strand displacement amplification; swine; tma; to be specified in another part of the message; transcription mediated amplification; unspecified; vet; veterinary,Qn
86730-9,leptospira borgpetersenii sv hardjo-bovis dna [cycle threshold #] in specimen by naa with probe detection,l borg har-bovis dna ct spec qn naa+prb,l. borgpetersenii sv hardjo-bovis dna naa+probe (specimen) [threshnum],3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; deoxyribonucleic acid; dna nucleic acid probe; dna probe; id; infectious disease; infectiousdisease; l borg har-bovis; l borgp; l borgp hardjo-bovis dna; l borgpetersenii; lat; lcr; leptospirosis; ligase chain reaction; ligation-activated transcription; microbiology; misc; miscellaneous; naa+probe; naat; nasba; nucleic acid sequence based analysis; other; pcr; point in time; polymerase chain reaction; probe amp; probe with ampification; probe with target amplification; qbr; qnt; quan; quant; quantitative; random; sda; spec; strand displacement amplification; tma; to be specified in another part of the message; transcription mediated amplification; unspecified; vet; veterinary,Qn
86738-2,toxoplasma gondii igg ab [presence] in specimen by immunoassay,t gondii igg spec ql ia,t. gondii igg ia ql (specimen),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; eia; elfa; elisa; enzyme immunoassay; iaa; id; immune globulin g; immunoglobulin g; infectious disease; infectiousdisease; meia; microbiology; misc; miscellaneous; ordinal; other; point in time; pr; ql; qual; qualitative; random; screen; spec; suds; t gondii; to be specified in another part of the message; toxo; toxoplasmosis; unspecified,Ord
86746-5,dimensions of unhealed stage 3 or 4 pressure injuries or eschar during assessment period [cms assessment],,,centers for medicare and medicaid assessment; iii; pan; panel; panel.survey.cms; panl; pnl; pressure ulcer; pressure ulcers; report period; survey,-
86748-1,skin and ulcer/injury treatments during assessment period [cms assessment],,,centers for medicare and medicaid assessment; finding; findings; integument; nominal; pressure injury; pressure ulcer; pressure ulcers; report period; survey; tx; txs; ulcer,Nom
86754-9,number of days hypnotic received in last 7 days or since admission/reentry if less than 7 days [cms assessment],,,centers for medicare and medicaid assessment; count/time; dextro; hypnotic received in last 7d or since admission/reentry if less than 7d; no; nrate; num; number rate; number rate = count/time; past; qnt; quan; quant; quantitative; survey,Qn
86755-6,number of days anticoagulant received in last 7 days or since admission/reentry if less than 7 days [cms assessment],,,anticoag; anticoagulant received in last 7d or since admission/reentry if less than 7d; centers for medicare and medicaid assessment; count/time; dextro; no; nrate; num; number rate; number rate = count/time; past; qnt; quan; quant; quantitative; survey,Qn
86760-6,procedures performed during last 14 days - while not a resident [cms assessment],,,centers for medicare and medicaid assessment; finding; findings; nominal; past; survey,Nom
86761-4,procedures performed during last 14 days - while a resident [cms assessment],,,centers for medicare and medicaid assessment; finding; findings; nominal; past; survey,Nom
86765-5,speech-language pathology and audiology services - co-treatment minutes during 7 day assessment period [cms assessment],,,centers for medicare and medicaid assessment; path; qnt; quan; quant; quantitative; survey; tx,Qn
86771-3,date therapy regimen resumed during assessment period [cms assessment],,,centers for medicare and medicaid assessment; qnt; quan; quant; quantitative; report period; survey,Qn
86780-4,number of days of training and skill practice in dressing or grooming in last 7 calendar days [cms assessment],,,# days of training & skill practice in dressing or grooming; centers for medicare and medicaid assessment; count/time; dextro; no; nrate; num; number rate; number rate = count/time; past; qnt; quan; quant; quantitative; survey,Qn
86785-3,physical restraints during assessment period [cms assessment],,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
86789-5,other physical restraints used in bed during assessment period [cms assessment],,,centers for medicare and medicaid assessment; count/time; nrate; number rate; number rate = count/time; ordinal; othr; ql; qual; qualitative; report period; screen; survey,Ord
868-0,a3 ag [presence] on red blood cells,a3 ag rbc ql,a3 ag ql (rbc),antigen; antigens; blood bank; erythrocytes; hematology; heme; ordinal; point in time; pr; ql; qual; qualitative; random; red blood cells; red blood corpusles; screen,Ord
86813-3,"mds v3.0 - rai v1.14.1, v1.15.1, v1.16.1 - hearing, speech, and vision - no, nod, so, sod during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
86814-1,"mds v3.0 - rai v1.17.2 - staff assessment for mental status - nd, sd, ipa, osa during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
86817-4,mds v3.0 - rai v1.17.2 - functional status - osa during assessment period [cms assessment],,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
86824-0,"mds v3.0 - rai v1.14.1, v1.15.1, v1.16.1 - swallowing/nutritional status - no, so during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; deglutition; pan; panel; panel.survey.cms; panl; pnl; report period; survey; swallowing/nutritional status,-
86831-5,mds v3.0 - rai v1.17.2 - medications - osa during assessment period [cms assessment],,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
86841-4,"mds v3.0 - rai v1.17.2 - therapies - np, nq during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
86842-2,"mds v3.0 - rai v1.14.1, v1.15.1, v1.16.1 - therapies - ns, nsd, ss, ssd during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
8685-0,deprecated history of psychiatric symptoms and diseases,deprecated psych symptoms & diseases hx,,finding; findings; h/o; h+p; h+p.hx; hx; nominal; p prime; point in time; psych symptoms & diseases hx; random; sx; symp + dis,Nom
86857-0,flavivirus neutralizing antibody [presence] in specimen by neutralization test,flavivirus nab spec ql nt,flavivirus neut ab neut test ql (specimen),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; conventional virus neutralization test; cvnt; flav ab; flavi virus; id; infectious disease; infectiousdisease; microbiology; misc; miscellaneous; nab; neutralization; neutralization test; nt; ordinal; other; point in time; pr; ql; qual; qualitative; random; screen; serum virus neutralization; spec; svn; to be specified in another part of the message; unspecified; virus neutralization test; vnt,Ord
86859-6,dengue virus 3 neutralizing antibody [titer] in specimen by neutralization test,denv3 nab titr spec nt,denv 3 neut ab neut test (specimen) [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; breakbone fever; conventional virus neutralization test; cvnt; dengue type iii; denv; denv3; dilution factor; dilution factor (titer); flavivirus; id; iii; infectious disease; infectiousdisease; microbiology; misc; miscellaneous; nab; neutralization; neutralization test; nt; other; point in time; random; serum virus neutralization; smqn; spec; svn; titer; titered; titre; to be specified in another part of the message; ttr; unspecified; virus neutralization test; vnt,SemiQn
86861-2,dengue virus 4 neutralizing antibody [titer] in specimen by neutralization test,denv4 nab titr spec nt,denv 4 neut ab neut test (specimen) [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; breakbone fever; conventional virus neutralization test; cvnt; dengue type iv; denv; denv4; dilution factor; dilution factor (titer); flavivirus; id; infectious disease; infectiousdisease; microbiology; misc; miscellaneous; nab; neutralization; neutralization test; nt; other; point in time; random; serum virus neutralization; smqn; spec; svn; titer; titered; titre; to be specified in another part of the message; ttr; unspecified; virus neutralization test; vnt,SemiQn
86865-3,dengue virus 1 neutralizing antibody [presence] in specimen by neutralization test,denv1 nab spec ql nt,denv 1 neut ab neut test ql (specimen),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; breakbone fever; conventional virus neutralization test; cvnt; dengue type i; denv; denv1; flavivirus; i; id; infectious disease; infectiousdisease; microbiology; misc; miscellaneous; nab; neutralization; neutralization test; nt; ordinal; other; point in time; pr; ql; qual; qualitative; random; screen; serum virus neutralization; spec; svn; to be specified in another part of the message; unspecified; virus neutralization test; vnt,Ord
8686-8,history of respiratory system disorders,hx of respiratory disorders,,breathing; h+p; h+p.hx; history; lungs; nominal; p prime; point in time; random; rs; sx; symp + dis,Nom
86879-4,"mds v3.0 - rai v1.16.1 - bladder and bowel - nd, sd during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
86882-8,"mds v3.0 - rai v1.16.1 - cognitive patterns - nd, sd during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
86893-5,"mds v3.0 - rai v1.17.2 - physical therapy - nd, sd during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; pt; report period; survey,-
86899-2,vedolizumab ab [mass/volume] in serum or plasma by immunoassay,vedolizumab ab serpl ia-mcnc,vedolizumab ab ia [mass/vol],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; drug/toxicology; drugs; eia; elfa; elisa; entyvio; enzyme immunoassay; iaa; level; mass concentration; meia; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; suds; vedol; vemab,Qn
86904-0,carboxyhemoglobin/hemoglobin.total in arterial blood by pulse oximetry,cohgb % blda pulseox,,abg; art; art bld; art blood; arterial; arterial blood; blood arterial; carbon monoxide.hemoglobin; carbonmonoxyhemoglobin; carbonyl haemoglobin; carbonyl hemoglobin; carbonyl hgb; carboxyhaemoglobin; carboxyhemoglob; co haemoglobin; co hemoglobin; cohb; cohgb; haemoglobin; hb; hbco; hemoglobin bound with carbon dioxide; hgb; lung; mass fraction; percent; point in time; pulmonary; pulmonology; pulseox; qnt; quan; quant; quantitative; random; respiratory; spo2; tot; totl,Qn
86915-6,calcium goal [mass/volume] serum or plasma,calcium goal mcnc serpl,,ca; cal; clin; level; mass concentration; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr,Qn
86920-6,bicarbonate goal [moles/volume] blood,hco3 goal scnc bld,,bic; bicar; bicarb; blood; clin; hco3; hco3 goal; level; point in time; qnt; quan; quant; quantitative; random; substance concentration; wb; whole blood,Qn
86926-3,transmissible gastroenteritis virus ab/negative control in serum by immunoassay,tgev ab ser ia,transmissible gastroenteritis virus ab/negative control ia (s) [relative ratio],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; coronavirus; eia; elfa; elisa; enzyme immunoassay; iaa; id; infectious disease; infectiousdisease; meia; microbiology; neg; point in time; qnt; quan; quant; quantitative; random; relative ratio; serum; sr; suds; tgev; transmissible gastroenteritis; vet; veterinary,Qn
86936-2,"i have been able to maintain (keep up with) lifestyle changes, like eating right or exercising [pam]",,,finding; findings; ordinal; point in time; ql; qual; qualitative; r; random; rt; screen; survey; survey.gnhlth,Ord
86952-9,preliminary testing done specimen,preliminary testing done spec,,aoeobservation; ordinal; point in time; pr; public health; public health documents; publichealth; ql; qual; qualitative; random; screen; spec,Ord
86970-1,ct sacrum and coccyx wo contrast,ct sacrum+coccyx wo contr,,c; cat scan; computed tomography; computerized tomography; contr; contra; contrst; ct scan; document; finding; findings; imaging; pelvic; point in time; rad; radiology; random; without contrast,Doc
86974-3,ct thoracic and lumbar spine wo and w contrast iv,ct t+l-spine wo+w contr iv,,abd; abdo; abdomen+; abdominal; c; cat scan; computed tomography; computerized tomography; contr; contra; contrst; ct scan; document; dorsal spine; finding; findings; imaging; l/sp; l-spine; lumbar; lumbo; point in time; rad; radiology; random; spinal; spinal cord; t spine+ab; t+l-spine; th/sp; thorax; t-spine; w contr iv; wc; wo & wc; wo+w contr; wo+w contr iv; wwo,Doc
86979-2,ct pelvis and hip - bilateral wo contrast,ct pelvis and hip-bl wo contr,,bil; bilat; both; c; cat scan; computed tomography; computerized tomography; contr; contra; contrst; ct scan; document; ext; extr-bl; finding; findings; hip-bl; hips; imaging; le; le-bl; leg; low; lower extremity joint; msk; musculoskeletal; ortho; orthopedics; pelvic; pelvis + hip-bl; pelvis and hip-bl; pelvis+le; pelvis+le-bl; point in time; rad; radiology; random; without contrast,Doc
86995-8,guidance for abscess,guided unsp region abscess,,document; finding; findings; guid; guide; guided; imaging; misc; miscellaneous; other; point in time; rad; radiology; random; spec; to be specified in another part of the message; unspecified,Doc
86999-0,guidance for additional percutaneous mechanical thrombectomy of artery,guided artery mech thromb addl,,add; art; cardio; cardiology; coreplaybook; document; finding; findings; guid; guide; guided; heart disease; imaging; mech thromb addl; misc; miscellaneous; other; perc; playbook; point in time; rad; radiology; random; spec; to be specified in another part of the message; unspecified,Doc
8702-3,physical findings of heart,phys find hrt,,cardiac; cardio; cardiology; exam; examination; finding; findings; h+p; h+p.px; heart disease; hrt; nominal; p prime; phys find; point in time; random,Nom
87027-9,guidance for biopsy of chest pleura,guided chest pleura bx,,bx; chest pleura; chest.pleura; coreplaybook; document; finding; findings; guid; guide; guided; imaging; perc; playbook; point in time; rad; radiology; random; thorax,Doc
87033-7,guidance for drainage and placement of chest tube of pleural space,guided pl space drain+ct place,,coreplaybook; document; drain; drain+ct place; exudate; finding; findings; guid; guide; guided; imaging; pl space; playbook; point in time; rad; radiology; random; removal of fluid; thorax,Doc
87038-6,guidance for additional transluminal angioplasty of iliac artery,guided iliac a pta addl,,abd; abd+pelvis; abdo; abdominal; add; art; cardio; cardiology; coreplaybook; document; finding; findings; guid; guide; guided; heart disease; imaging; pelvic; pelvic artery; perc; playbook; point in time; pta; pta addl; rad; radiology; random,Doc
87039-4,guidance for additional vertebroplasty of lumbar spine,guided l-spine vertebroplasty addl,,abd; abdo; abdomen+; abdominal; add; coreplaybook; document; finding; findings; guid; guide; guided; imaging; l/sp; l-spine; lumbar; lumbo; playbook; point in time; rad; radiology; random; spinal; spinal cord; vertebroplasty addl,Doc
87046-9,guidance for cholangioscopy of gallbladder,guided gb cholangioscopy,,abd; abdo; abdomen+; abdominal; coreplaybook; document; finding; findings; gall bladder; gb; guid; guide; guided; imaging; playbook; point in time; rad; radiology; random,Doc
87050-1,guidance for cryoablation of liver,guided liver cryoablation,,abd; abdo; abdomen+; abdominal; coreplaybook; document; finding; findings; guid; guide; guided; hepar; hepatic; imaging; playbook; point in time; rad; radiology; random,Doc
87062-6,guidance for nerve block of celiac plexus,guided celiac plexus nerve block,,abd; abdo; abdomen+; abdominal; coreplaybook; document; finding; findings; guid; guide; guided; imaging; playbook; point in time; rad; radiology; random,Doc
87067-5,guidance for transjugular biopsy of kidney,guided kidney transjugular bx,,abd; abdo; abdomen+; abdominal; bx; coreplaybook; document; finding; findings; guid; guide; guided; imaging; kidney; nephric; nephrology; playbook; point in time; rad; radiology; random; renal; transjugular bx,Doc
8707-2,physical findings of pelvis,phys find pelvis,,exam; examination; finding; findings; h+p; h+p.px; nominal; p prime; pelvic; phys find; point in time; random,Nom
87076-6,guidance for transjugular biopsy and hemodynamic evaluation of liver,guided liver transjugular bx+hemo eval,,abd; abdo; abdomen+; abdominal; assessment; bx; coreplaybook; document; eval; finding; findings; guid; guide; guided; h&p; hepar; hepatic; history and physical; imaging; playbook; point in time; rad; radiology; random; transjugular bx; transjugular bx+hemo eval,Doc
87079-0,guidance for paracentesis and insertion of tube of peritoneum,guided peritoneum paracent+tube insert,,abd; abdo; abdomen+; abdominal; coreplaybook; document; finding; findings; guid; guide; guided; imaging; insertions; paracent+tube insert; playbook; point in time; rad; radiology; random,Doc
87082-4,guidance for removal of catheter from peritoneum,guided peritoneum cath rem,,abd; abdo; abdomen+; abdominal; cath; cath rem; coreplaybook; document; extraction; finding; findings; guid; guide; guided; imaging; playbook; point in time; rad; radiology; random; remove,Doc
87101-2,guidance for percutaneous transluminal angioplasty of brachiocephalic artery,guided brachceph a pta,,art; brachceph a; brachiocephalic; cardio; cardiology; coreplaybook; document; finding; findings; guid; guide; guided; heart disease; imaging; innominate artery; perc; playbook; point in time; pta; rad; radiology; random; thorax,Doc
87122-8,guidance for kyphoplasty of thoracic spine,guided t-spine kyphoplasty,,coreplaybook; document; dorsal spine; finding; findings; guid; guide; guided; imaging; playbook; point in time; rad; radiology; random; spinal; spinal cord; th/sp; thorax; t-spine,Doc
87128-5,guidance for placement of venous filter in superior vena cava,guided svc filter place,,coreplaybook; document; filter place; finding; findings; guid; guide; guided; heart; imaging; playbook; point in time; rad; radiology; random; svc; thorax; vc,Doc
87134-3,guidance for placement of stent in femoral artery and popliteal artery,guided fem a+pop a stent place,,art; cardio; cardiology; coreplaybook; document; ext; extr-ul; fem a; fem a+pop a; fem a+popliteal a; finding; findings; guid; guide; guided; heart disease; imaging; knee artery; le; leg; low; playbook; point in time; rad; radiology; random; stent place; thigh,Doc
87136-8,guidance for arthrocentesis of knee,guided knee arthrocentesis,,asp; coreplaybook; document; ext; finding; findings; fld; guid; guide; guided; imaging; kn; le; leg; low; lower extremity joint; msk; musculoskeletal; ortho; orthopedics; pc fluid asp; perc; playbook; point in time; rad; radiology; random,Doc
87139-2,guidance for additional transluminal angioplasty of lower leg,guided lower leg pta addl,,add; calf; coreplaybook; document; ext; fibula; finding; findings; guid; guide; guided; imaging; le; leg; low; lower extremity; perc; playbook; point in time; pta; pta addl; rad; radiology; random; tibia,Doc
87146-7,guidance for injection of shoulder,guided should inj,,arm; coreplaybook; document; ext; finding; findings; guid; guide; guided; imaging; inj; msk; musculoskeletal; ortho; orthopedics; playbook; point in time; rad; radiology; random; ue; up; upper extremity joint,Doc
87154-1,guidance for diagnostic puncture of cervical spine,guided c-spine diag puncture,,c/sp; cerv; coreplaybook; c-spine; diag puncture; document; finding; findings; guid; guide; guided; imaging; playbook; point in time; rad; radiology; random; spinal; spinal cord,Doc
87164-0,guidance for secondary mechanical thrombectomy of artery,guided artery secondary mech thromb,,art; cardio; cardiology; coreplaybook; document; finding; findings; guid; guide; guided; heart disease; imaging; misc; miscellaneous; other; perc; playbook; point in time; rad; radiology; random; secondary mech thromb; spec; to be specified in another part of the message; unspecified,Doc
87166-5,guidance for percutaneous transluminal angioplasty of vein,guided vein pta,,cardio; cardiology; coreplaybook; document; finding; findings; guid; guide; guided; heart disease; imaging; misc; miscellaneous; other; perc; playbook; point in time; pta; rad; radiology; random; spec; to be specified in another part of the message; unspecified; ven; venous,Doc
87183-0,guidance for greater than 2 injections of trigger point of muscle,guided muscle trigger point inject ge3,,coreplaybook; document; finding; findings; guid; guide; guided; iii; imaging; inj; misc; miscellaneous; musc; muscl; other; playbook; point in time; rad; radiology; random; spec; to be specified in another part of the message; trigger point injection ge3; unspecified,Doc
8720-5,surgical operation note preoperative diagnosis,operative note pre-op dx,,diagnosis; encounter; evaluation and management; evaluation and management note; h+p; h+p.surgical procedures; impression; impression/interpretation of study; impressions; interp; interpretation; nominal; notes; operative note; operative note pre-op dx; p prime; point in time; pre-op; random; surg; visit note,Nom
87219-2,attesting individual first name during assessment period [cms assessment] provider,,,centers for medicare and medicaid assessment; given name; nominal; person name; report period; survey,Nom
87229-1,"mds v3.0 - rai v1.14.1, v1.15.1, v1.16.1 - assessment administration - nd, sd during assessment period [cms assessment]",,,centers for medicare and medicaid assessment; pan; panel; panel.survey.cms; panl; pnl; report period; survey,-
87234-1,dialysis education note,dialy educ note,,dialy; doc.ont; document; educ note; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; visit note,Doc
87237-4,dialysis plan of care note,dialy plan of care note,,care plan; dialy; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; treatment plan; visit note,Doc
87241-6,bacillus atrophaeus [presence] in laboratory device by culture,b atrophaeus lab device ql cult,b. atrophaeus cx ql (laboratory device),b atrophaeus; bacillus subtilis var. niger; c&s; cult; cultures; id; infectious disease; infectiousdisease; lab device; microbiology; ordinal; point in time; pr; ql; qual; qualitative; random; screen,Ord
8724-7,surgical operation note description narrative,operative note description,,encounter; evaluation and management; evaluation and management note; finding; findings; h+p; h+p.surgical procedures; narrative; notes; operative note; operative note description; p prime; point in time; random; report; surg; visit note,Nar
87248-1,addiction medicine education note,addiction med educ note,,doc.ont; document; educ note; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; substance abuse; visit note,Doc
87261-4,addiction medicine case manager note,addiction med case mgr note,,addiction med case mgr; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; substance abuse; visit note,Doc
87286-1,birth attendant [extended identifier],birth attendant ext id provider,,admin; ext id; nominal; point in time; random,Nom
87287-9,birth certifier [extended identifier],birth certifier ext id provider,,admin; ext id; nominal; point in time; random,Nom
87310-9,guidance for transhepatic exchange of catheter of biliary ducts,guided bds transhep cath exchange,,abd; abdo; abdomen+; abdominal; bds; bile tract; biliary tract; cath; change; coreplaybook; document; finding; findings; guid; guide; guided; imaging; playbook; point in time; ptbd; rad; radiology; random; replace; transhep cath exchange,Doc
8731-2,ventricular cardiac output by 2d echo,hrt ventr output 2d echo,,cardiac; cardio; cardiology; co; flow; heart disease; hemodynamics; hemodynamics.molec; hrt; hrt ventr; point in time; qnt; quan; quant; quantitative; random; ultrasound; ventricular; volume rate; vrate,Qn
8732-0,left ventricular cardiac output by angiography biplane,lv output angio bp,,angio; angio bp; cardiac; cardio; cardiology; co; flow; heart disease; hemodynamics; hemodynamics.molec; hrt; hrt ventr; l; lt; lv; point in time; qnt; quan; quant; quantitative; random; ventricular; volume rate; vrate,Qn
87324-0,porcine circovirus type 2 [presence] in specimen by organism specific culture,pcv2 spec ql cult,pcv type 2 org specific cx ql (specimen),c&s; circo virus; cult; cultures; id; ii; infectious disease; infectiousdisease; microbiology; misc; miscellaneous; ordinal; other; pcv; pcv2; point in time; pork; pr; ql; qual; qualitative; random; screen; spec; swine; to be specified in another part of the message; unspecified; vet; veterinary,Ord
87332-3,porcine circovirus type 2 ag [presence] in tissue by immune stain,pcv2 ag tiss ql imstn,pcv type 2 ag immune stain ql (tiss),"antigen; antigens; circo virus; id; ihc; ii; imm; immunohistochemical stain; immunostain; imstn; imun; imune; infectious disease; infectiousdisease; microbiology; ordinal; pcv; pcv2; pcv2 ag; point in time; pork; pr; ql; qual; qualitative; random; screen; st; stains; stn; swine; tissue; tissue, unspecified; vet; veterinary",Ord
87338-0,porcine circovirus type 2 strain identified [type] in isolate by sequencing,pcv2 islt seq,pcv type 2 strain identified sequencing nom (isol),circo virus; high-throughput sequencing; hts; id; ii; infectious disease; infectiousdisease; islt; isol; isolated; microbiology; next generation sequencing; ngs; nominal; pcv; pcv2; pcv2 cult; point in time; pork; random; swine; typ; vet; veterinary,Nom
87340-6,porcine circovirus type 2b dna [cycle threshold #] in specimen by naa with probe detection,pcv2b dna ct spec qn naa+probe,pcv type 2b dna naa+probe (specimen) [threshnum],3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; circo virus; deoxyribonucleic acid; dna nucleic acid probe; dna probe; id; infectious disease; infectiousdisease; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; misc; miscellaneous; naa+probe; naat; nasba; nucleic acid sequence based analysis; other; pcr; pcv; pcv2b; point in time; polymerase chain reaction; pork; probe amp; probe with ampification; probe with target amplification; qbr; qnt; quan; quant; quantitative; random; sda; spec; strand displacement amplification; swine; tma; to be specified in another part of the message; transcription mediated amplification; unspecified; vet; veterinary,Qn
87343-0,pseudorabies virus glycoprotein 1 ab/negative control in serum by immunoassay,prv glycoprot 1 ab ser ia,pseudorabies virus glycoprotein 1 ab/negative control ia (s) [relative ratio],abs; aby; alpha-herpesvirus; antby; anti; antibodies; antibody; aujeszky's disease; aujeszkys disease virus; aujezskys disease; autoantibodies; autoantibody; eia; elfa; elisa; enzyme immunoassay; gg; glycoprot; glycoproteins; gp; i; iaa; id; infectious disease; infectiousdisease; meia; microbiology; neg; pdv glyco 1 ab; phv1; point in time; porcine herpes virus 1; prv; prv glycoprot 1; pseudorabies; qnt; quan; quant; quantitative; random; relative ratio; serum; shv-1; sr; suds; suid herpesvirus-1; vet; veterinary,Qn
87347-1,senecavirus a igg ab/positive control in serum by immunoassay,sva igg/pos cntrl ser ia,senecavirus a igg/positive control ia (s) [relative ratio],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; eia; elfa; elisa; enzyme immunoassay; iaa; id; immune globulin g; immunoglobulin g; infectious disease; infectiousdisease; meia; microbiology; point in time; pos; pos cntrl; qnt; quan; quant; quantitative; random; relative ratio; seneca valley virus; serum; sr; suds; sva; sva ab; sva igg; vet; veterinary,Qn
87370-3,escherichia coli fasa gene [presence] in isolate by naa with probe detection,ec fasa gene islt ql naa+probe,e. coli fasa gene naa+probe ql (isol),3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; dna nucleic acid probe; dna probe; e coli; e. coli 987p pilus gene; ec fasa gene; id; infectious disease; infectiousdisease; islt; isol; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; naa+probe; naat; nasba; nucleic acid sequence based analysis; o002; ordinal; pcr; point in time; polymerase chain reaction; pr; probe amp; probe with ampification; probe with target amplification; qbr; ql; qual; qualitative; random; screen; sda; strand displacement amplification; tma; transcription mediated amplification,Ord
87388-5,porcine sapelovirus [presence] in specimen by organism specific culture,psv spec ql cult,porcine sapelovirus org specific cx ql (specimen),c&s; cult; cultures; id; infectious disease; infectiousdisease; microbiology; misc; miscellaneous; ordinal; other; point in time; pork; pr; psv; ql; qual; qualitative; random; screen; spec; swine; to be specified in another part of the message; unspecified; vet; veterinary,Ord
