anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
urine crystals, other rine|urine rystals uin other|renal epithelial cells urine
willebrand von factor activity blood|von willebrand factor activity blood|cholesterol ratio (total/hdl) blood
potassium, blood blood whole|potassium, blood blood whole|centromere blood
blood calcium free substance concentration|blood calcium free|ascites macrophage
ovalocytes blood|blood ovalocytes|h/o smear blood
sugar wte test blood|sugarwater test blood|phophate triple cystls urine
plera lbumin, pleural|albumin, pleural pleural|wbc plasma cels leural
carboxyhemoglobin blood hgb|carboxyhemoglobin bloo carbon monoxide.hemoglobin|riglycerides blood
chloride, stool stool|stool chloride, stool|macropages quant pleural
ammonia blood|ammonia level blood|bilirubin, total blood serpl
rbccasts urine|rbc urine casts|blastsblod hematology/cell counts
polys fld joint|joint polys fluid|monocyte count blood
basophlslura|quan bsophil pleural|fluid cerebrospinal polys (csf)
blasts cerebrospinal fluid (csf)|blasts csf (csf)|cholesterol urine crystals
blood d22|cd22 blood|polys cerebrospinal fluid (csf)
folate blood serum|folate blood|cyclosporin bld
blood, occlt stool|blood, occult stool|bilirubi, blood universallaborders tota
re cellsblood blood|rd ood cells blood|transitional eithelial cells urne
heiz ody prep bld point in time|ql prep heinzbo lood|blood count, manual reticulocyte
blood schistocytes|bld ql schistocytes|promyelocytes other body fluid
hemogloblin a blood|blood a hemogloblin|calcium, urine urine
hematocrit blood|hematocrit blood|rbccasts urine
urine crystals, urine other|urine rystals uin other|heparin, mw blood
lipase, ascites ascites|random ascites lipase, ascites|lactate dehydrogenase, ascites lactic acid ascites
urine urine color|coor urine urine|bone cd23 marrow
cholesterol, ascites ascites|cholesterol, ascites ascites|creatinine, chemistry pleural pleural
urine blood|urine blood|qnt c-ractve roenblood
blood lymphocytes|lmphocytes blood|bilirubin crystals urine
anti-mitochondrial antibody blood random|anti-mitochondrial antibody blood|pleural chloride, pleural
salicylate bld|screen saliylate bld|fluid(csf erebrospina metamyelocyts
leuk other metamyelocytes body fluid|metamyelocytes other body fluid|transitional epithelial urine cells
tobramycin blood|blood tobramycin|blood cd19
ngt o uine colection urine|uine collection time total|calcium, body chemistry fluid other body fluid
whole bld absolute hemoglobin bld|qnt blod heogobin|blood hla-dr
tidal volume blood|tidal volume blood|ascites macrophage
bld aminotrnsferase (alt) alanie|blood aminotransferase serum (alt) alanine|carboxyhemoglobin bloo carbon monoxide.hemoglobin
sodimblod|blood sodim|calcium, body chemistry fluid other body fluid
marrow bone cd15|cd15 bone mrro|ferritin blood
tiss transgluaminasab, iga blood|tissue celiac disease transglutaminase ab, iga blood|urne potentialforabuse methadone, uine
blood lactate|blood lactate 2-hydroxy-propionate|blood parasite smear blood
cd38 blod|blood cd3|anti-smooth antby muscle blood antibody
hdl cholesterol, blood|plsm cholesterol, hdl blood|d138 blood
bicarbonate, ascites ascites|bicarbnate, ascites sites quantitative|amylase/creatinine ratio, urine urine
cancer antigen 27.29 blood sr|cner antigen blood plsm 27.29|lactate dehydrogenase, csf cerebrospinal (csf) fluid
cd22 other body fluid|other cd22 body fluid|bod glutamyltransferase gmma
blood random estradiol|quantitative estradiol bld|blood triglycerides
blood parasite smear blood|bld parasite smear bld identity or presence|yeast hyphenated urine
gamma glutamyltransferase blood|bod glutamyltransferase gmma|bone cd23 marrow
lood o2flo|o2 quantitative flow bld|24 hr qnt creatinine urine
serum viscosity blood|viscosity serum blood|calcium oxalate crystals urne
calcium, totalblood|clciu total blod|urine sperm
body nitrogn, urea fluid otherbodfluid|urea nitrogen, body fluid other body fluid|cd15 blood
cells, cd8 percent blood|cels, d8 pecntblod|cholesterol, ascites ascites
riglycerides blood|blood rigycerides|tdal volume bloo
lymphs% aticalymphocytes plural|lung atypical plural ymphocytes|cd14 marrow bone
ody other cd22 fluid|cd22 other body fluid|blast blod
plasma bf other body fluid|body othr lasma fluid|albumin/creatiine, urine urine
urie amyl ratio, urie mylse/reaiine|amylase/creatinine ratio, urine urine|cd11c other body fluid
marrow bone cd10|cd10 bone marrow|urine specimen type urine
basphils pleural thoracentesis fluid|pleural basophils pleural|pophbilinogn urine cren heme
viscosity serum blood|serum viscosity blood|hb bld methemlbin
urine hr calcium quant 24|hr 24 clcium urine|factor ix blood
cortisol blood cort|blood cortisol|cd22 other fluid body
spinal fld albi>cerebrospinal fluid cf)|<lbumin> fuid crebrospinl (sf) universallaborders|blood d-dimer
qnt blod heogobin|absolute hemoglobin blood|ld, bod flui othr body flud l-lactate dehydrogenase
fragilityblod osotic|fragilityblood osmotic|bld antibody anti-mitochondrial
blood cd33|blood cd33|blood mch electr
point in time urine urine magnesium,|magnesium, urine urine|monocyte count blood
tissue celiac disease transglutaminase ab, iga blood|tissue transglutaminase ab, iga blood|pt blood
qual urine bodies fat urine|urine fat bodies ordinal urine|white bld count bld cells
bf macrophage other body fluid|macrophage other body fluid|cd3 one marrow
ells oung blood young platelets|young cells blood blood|mestelial ells pleural
eosinophil count blood|blood count eosinophil|protein, total blood
ph bld|ph point in time blood|body other cd41 fluid
urine bacteria|urine bacteria|blood cd33
fmc7 other body fluid|flud otherbody fmc-|globulin bld
homocysteine blood|homocyseine bloo serp|mylase,pleural pleural
bone cd23 marow|bone cd23 marrow|envelope cells blood
(csf) cerebrospinal fluid macrophage|macrophage cerebrospinal fluid (csf)|pocaamie qnt bld
total protein, urine urine|total urine protein, urine|urine acid crystals uric
uric acid crystals urine|urine acid crystals uric|blood triglycerides
hla-dr bone marrow|bone hla-dr marrow|bas blod eces calculation
blirubinurine|urine bilirubin|factor ix blood
blood cd7|cd7 blood|albumin, pleural pleural
bood acanthocytes ql|acanthocytes blood|bilirubin, bod total, flui bili other bdy flid
protein functional c, blood|protin c, uncinal blood|cd41 bone marrow
blood c3|blood c3|blood urine
cd33 body other fluid|cd33 body othe fld|urine hr calcium quant 24
benzodiazepine screen, urine urine|benzodiazepine screen, qual urine urine|basophils blood
other cd19 body fluid|body other cd19 fluid|phophate triple cystls urine
blood cortisol|cortiol serum blod|pleura mesothelilcells
cholesterol, ldl, lipid measured blood|cholesterol, ldl, measuredblood serplas|hemosiderin urine ur
24 hr calcium urine|hr 24 clcium urine|blood hypochromia
hyaline urine casts|hyaline casts urine|blood roteinlectroporesis
reticulocyte count, anual bld|reticulocyte count, manual blood|lactate dehydrogenase (ld) blood
epithelial transitional cells urine|transitional eithelial cells urne|neutrophils blood
ascites ascites creatinine,|creatinine, ascites ascites|urine urine myoglobin, ordinal
total protin, acite ascites|tota protein, ascites ascites quan|basophils blood
quanitative g6pd blood phosphorous|quantitative g6pd blood|blood fragilty osmotc of
fluid cerebrospinal blasts (csf)|cerebrospinal fluid spinal fl cerbrosinafluid blasts|lkcs lymphocytes pleural
alkaline bod phosphatase|phosphatase alkaline blood|choleserol, pleural peural
phenytoin blood|blood phenytoin|free calcium blood level
24 hr calcium urine|24 mrate hr calcium urine|qnt ascites ascites bicarbonate,
cd15 other body fluid|cd15 body other fluid|cd5 other body fluid
hypochromia blood|hypochromia blood|blood transferrin
cd20 body other fluid|body other cd20 fluid|creatinine, urine urine
hemogloblin blood s|bld s electrophrs hemoloblin|anticardiolipin igg antibody blood
polys pleural|pleural polys grans|bicarboate, urnurine
cd10 body other fluid|other cd10 body fluid|fluid other body cd7
cd4/cd8 ratio other body fluid|cd4/d8 rtio othr body id|nirite urine
lipase, ascites ascites|lipase, ascites lipase ascites|reticulocyte count, automated blood
cd10 blood|blood cd10|lymphocytesjoint fluid leukocyte
cd5 blood|blood cd5|amorphous urine crystals
basophils blood|blood basophils|functional fibrinogen, blood
waxy casts urine|casts waxy urine|gycoa flud bod othr
blood bun nitrgen rea|urea nitrogen blood|macrophage fluid macrophage joint
estimed serpl gfr(mdrd equation) bld|esimate gfr (mdrd equation) blood|blood d-dimer
plasma follicle stimulating horone lood|follile stimulaing sr blood hormon|blood cd41
blood pco2|pco2 blood|d10 marrow bone
cholesterol, ldl, measured blood|cholesterol, ldl, measured blood|glucoe rne
cd138 bloo|cd138 blood|anti-thyroglobulin antibodies bld
blood cd5|cd5 blood|esimate gfr (mdrd equation) blood
hla-dr blood|blood hla-dr|osmolality, urine urine
coor urine urine|urine urine color|blood chloride
blod pl cid valproic|valproic acid blood|free calcium blood
blood whole blood anisocytosis|aniocytosis bld|blood c3
blood cd3|cd23 blood|fluid joint basophils
cerebrospinal metamyelocytes spinal fl fluid (csf)|metamyelocytes cerebrospinal fluid (csf)|nrbc cerebrospinal fluid (csf)
ck-mb blood ck-mb index|ck-mb blood index|hyalin casts urine
marrow bone cd8|marrow bone cd8|virs hepatitic antbodyblood
lymphs (cerebrospinal fluid) fluid cerebrospinal wbc|lymphs cerebrospinal fluid (csf)|wbc, joint fluid joint fluid
blod granulocyte count raulocyte|blod ganulocytecount|amylase/creatinine ratio, urine urine
cd5 blood|cd5 bod|schistocytes blood
macrophage other body fluid|macrophage other body fluid|factr xiii blood
chloide, urine urie|chloride, urine urine|pleural polys grans
heparin blood|bood heparin|blood mch electr
bicarbonate, pleural pleural|pleural pleural bicarbonate,|hormone luteinizing blood
sickle cell point in time preparation blood|ql prearation cell sick blood|cd166 bone marrow
on willbrnd activty factor lood|von illebrand actor activity blood|peral percent monos
tissue transglutaminase ab, iga blood|tissuetransglutamase ab, bld iga|ld, body fluid other body fluid
blood tobramycin|mass concentration blood tobramycin|ascites monocytes
uatitativeg6pd quantitative lood|quantitative g6pd blood|lymphs cerebrospinal fluid (csf)
pleural pleural bicarbonate,|bicarbonate, pleural pleural|whole bld absolute hemoglobin bld
sphrocytes bloo spherocyte|micros sherocytes blood|epithelial urine cells
myelocytes other body fluid|myelocytes quant other flui body|ph blood
hypersegmented (csf) cerebropinlfluid neutrophil|hypersegmented neutrophils csf (csf)|ascites wbc, count/volume ascites
bicarbonate, other fluid other body fluid|bicarbonate, other fluid other body fluid|benzodiazepine screen, ur pr urine
prot elph pnl pep, csf cerebrospinal fluid (csf)|pep, csf csf fraction (csf)|cd138 blood
pleural macrophages quant|pleural macrophages qnt|urine ph
urine ketone|ketone urine|blood white blood cell myelocytes
oterbodyluid hla-d|boy other la-dr fluid|triglycerides blood
hemosiderin urine ur|hemosiderin urine|blood lactate
phosphate, body fluid other body fluid|phospte, ody fu oter boy fluid|potassium, ascites random ascites
cd3 oter body fluid|other cd3 body fluid|creatinine, chemistry pleural pleural
hepatitis blood virus igm antibody a|hepatitis a virus igm antibody id blood|blood hematocrit
nitrite urine|urine nitrite|troponin t blood
cd16 blood|blood cd16|fluid type other body fluid
pt blod|pt blood|lengthof rine colleco urne
bodies pappenheimer blood|blood bodies pappenheimer|macrophage ascites
clumps platelet blood|platelet clups bld|urine urine myoglobin, ordinal
glucose, body fluid other body fluid|chemistry glucose, oy flui other by fluid|ld, fluid fluid joint joint
blood d-dimer|blood d-dimer|fluid joint ld, joint fluid
prolactin blood lactotropin|prolactin blood|bilirubi, blood universallaborders tota
glucose, body fluid other body fluid|gluose, ody body oher fui fluid|urine hemosiderin ur
l-lactate ld, fluid fluid joint joint|ld, joint fluid joint fluid|oxygen saturation quantitative blood
oterbodyluid hla-d|boy other la-dr fluid|xiii factor blood
casts waxy urine|waxy casts urine|beta-2 microglobulin blood
urology prosate blod angen specfic|prostate specific antigen serp blood|magnesiu, body luid othr ody fluid
blood percent lymphocytes,|lymphoyte,percent blood|heparin blood
sugar water test blood|pnh sugar water test bld|cholesterol, body body choles other fluid fluid
mesothelial cells (csf) fluid cerebrospinal|mesothelia cells cerebrospina luid (csf)|blood basophis
ascites macrophage|ascites macrophage|blood ii factor
eosinophil blood count hematology/cell counts|number concentration bld count eosinophil|colesterl, cholesterols totl bloo
bacteria urine|urine bacteria|creatinine, chemistry pleural pleural
blood cd34|blood cd34|blood cd19
blood serum closorin|bld cyclosporin random|mylase,pleural pleural
cd3 bone marrow|cd3 bne arro|triple phosphate crystals urine
hemoglobin f blood|bood f quantitative hemolobin|blood vancomycin
macrophage other body fluid|bf macrophage other body fluid|immunofixation, report urine urine
chemistry glucose, oy flui other by fluid|glucose, body fluid other body fluid level|blood d-dimer
ai-smoth antibody muscle blood|anti-smooth antby muscle blood antibody|heiz ody prep bld point in time
immunofixation blood|immunofixaion blod|etoh etanl blod
cd4 cells, percent blood|ells, cd4 percent bood|macrocytes blood
cd7 bloo|blood cd7|fatty urine
polys other body fluid|polys other body fluid|protein blood antigen s,
blood fragilty osmotc of|osmotic fragility blood|osmolality, body fluid bf other odyfluid
carciebyronc antigen (cea) antigens blod|carcinoembyronic antigen (cea) blood|immunoglobulin g blood
prt creatinine, ascites ascites|creatinine, ascites ascites|polys granulocyte pleural
flud otherbody fmc-|fmc-7 other body fluid|cd3 bone marro
bicaonate, urne urie|bicarbonate, urine urine|creatinine, urine urine renal
urine volume urine|urine volume urine|sex bindng hormoe globulinbood
random macrhae cerebrospina (csf) fluid|macrophage cererospinalfuid (csf)|osmolality, ascites ascites
pleural bicarbonate, pulmonology pleural|bicarbonate, pleural pleural|bone cd16/56 marrow
rbc, red cell csf cerebrospinal (csf) fluid|rb, csf hematology/cell counts (csf fluid erebrospinal|hemogloblin a blood
blood c6|blood cd16|body other quantitative lymphocytes fluid
chloride, whole quan bld bld|whole chloride, blood blood|bicarbonate, urine urine
h/ smear blood|h/o smear blod|calcium, urine urine
sodium, body fluid other body fluid|sodium, bdy fluid other body flui|urine hemosiderin ur
protin c, uncinal blood|protein functional c, blood|wbc, cerebrospinal csf fluid (csf)
rheumatoid blood enzyme immunoassay factor|factor rheumatod lood|rena epithlial cells urie
pleural pleural bicarbonate,|bicarbonate, pleural pleural|heprn blood
rbc urine|urine rbc|barbiturate screen, urine urine
bld cyclosporin random|blood serum closorin|cholesterol, ldl, measuredblood serplas
platelet clumps blood qualitative|clumps platelet blood|lymphocyes quan atypical ascits
inr(pt)blood|inr(pt) blood|glyco a other body fluid
blood lung pco2|pco2 blood|porphobilinogen qualitative screen urine
magnesium, urine urine quantitative|point in time urine urine magnesium,|cd22 blood
pl bld thyroglobulin|thyroglobulin bld serp|hemosiderin urine ur
lood hemoglobi|hmoglobi bood|cortisol blood
lymphocytes ascies|lymphocytes ascites point in time|cd34 bone marrow
blood bicarboat|blood bicarbonate|troponin i blood
calcium phosphate crystals urine|calcium phosphate urine crystals|qnt ascites ascites bicarbonate,
pept ntprobnp blood|ntprobnp blood|length of urine collection urine
nrbc cerebrospinal fluid (csf)|nrbc cerebrospinal fluid (csf)|monocytes fluid cerebrospinal (cerebrospinal fluid)
fibrn dadtion bloo prodcts|prodt degrdtio fibrin lood|coine, rine urne potentialforabuse
tpical ascites ascites lympocytes|wbcs atypical lymphocytes ascites|rbc urine casts
platelet count blood|platelet cont blood|granulocyte count blood
blood lung pco2|pco2 blood|blood cd56
hemoglobin f blood|bood f quantitative hemolobin|cd13 marrow bone
carboxyhemoglobin blood|blood carboxyhemoglobin|anti-nuclear blood point in time antibody
stool chloride, stool|stool stool chloride,|crystals amorphous urine
polys pleural|pleural polys leuk|oxygen saturation quantitative blood
white blood cells cerebrospinal eosinophils fluid (csf)|cerebrospinal eosinophils fluid (cerebrospinal fluid)|p other flu bodyfluid
polys other body fluid|polys other body fluid|measured osmolality, bld
reticulocyte con, manual lod|reticulocyte count, anual bld|absolute count cd8 blood
blood c3|quan blood c3|bands blood
hyaline urine casts|hyaline urine casts|liase flu body uid other ody flui
tissue transglutaminase ab, iga blood|tiss transgluaminasab, iga blood|other cd3 body fluid
(cerebrospinal fluid) utrophils cerebopinal flud ypersegmentd|hypersegmented neutrophils csf (csf)|urine cholesterolcrystals
screen saliylate bld|blood pl salicylate|hepatitis b virus enzyme immunoassay core antibody blood
ntprobnp lood brain natriuretic peptide|ntprobnp blood random|otherbody boyfuid sodium, fuid b/f
lymphoctes, blood percet|lymphocytes, percent blood|urine specien type urine
blood bodies pappenheimer|blood bodies pappenheimer|magnesium, body fluid other body fluid
csf wbc, csf (csf)|wbc, cerebrospinal csf fluid (csf)|alb albumin blood
osmolality urine urine|osmolliy, urine rine|cyclosporin blood
heogloblinsblood|bld s electrophrs hemoloblin|hypersegmented bld neutrophils neuts hyperseg
blood ptt|ptt blood|urine casts, urine other
blod lipe|lipase bld quantitative|plasma cells pleural hematology/cell counts
blasts blood ct|blats blood|double traded na bld
albumin, pleural pleural|albumin, pleural pleural|phosphate, body fluid other body fluid
eosinophils othrboy fluid|eosinophils other body fluid|prtin elecrohoreis bld
bloo quan prolactin|prolactin blood|myelocytes cerebrospinal fluid (csf)
valproic acid blood|acid valproic bld|bone cd23 marow
bicarbonate, other fluid other body fluid|flu bicarbonate, other fluid other body fluid|chloride level bld
l basophls|blood basophis|functional c, protein blood
non-protein bound phenytoin, percen free lood|percent phenytoin, free diphenylhydantoin blood|bld parasite smear bld identity or presence
color urine urine|urine urine color|total protein, urine urine
hepatitis b virus core antibody blood|hepatitis b virus enzyme immunoassay core antibody blood|pten s, funciona blood
ammonia blood|ammonia level blood|serp glucose blood
(csf) cerebrospinal fluid bands|bands crebrospinal csf flui|hepatitis b surface antibody blood
plasma cells blood|plasma cells leuc blood|transitional epithelial urine cells
bon cd4 marw|d4 bone marrow|stain iron bone marrow stains
ovaoctesblod|blood ovalocytes|double stranded quant dna bld
indirect bilirubin, blood|quan blood indirect bilirubin,|blood blood schistocytes
bicarbonate, pleural pleural|pleural bicarbonate, bicar pleural|calcium, fluid body other body fluid
uric acid blood|blood acid pl uric|absolute count cd8 blood
phosphate, body fluid other body fluid|phosphate, body fluid other body fluid|urine rbc
blood random estradiol|stradiol bood|procainamide serum or plasma bood
alcohol ethanol bood|lood qual ethanol|urine volume urine
fluid fluid other body type|fluid body other type fluid|amylase/creatinine ratio, urine urine
chloride, urine urine|chloide, urine urie|tyrosine crytals rin
chlorid, cl- ascites acts|chloride, ascites ascites quan|estimated gfr (mdrd equation) blood gfr
creatinine, pleural pleural|reainine, random pleral pleurl|h/ smear blood
cd166 bone marrow|bone cd16/56 marrow|cd5 blood
crystals bilirubin urine|bilirubin urine crystals|chloide, urine urie
immunoglobulin g blood|munogluin g blod|basophiscerebrospinal (csf) fluid
cholesterol, total blood|total cholesterol, blood|ascites ascites chloride,
mesothelial fluid cebrospinl cells (cerebrospinal fluid)|mesothelia cells cerebrospina luid (csf)|urine birae ammoum
anti-gliadin antibody, iga blood|quant ibody,iga nti-gliadin bld|uie cells renalepithelia
protein c, blood antigen|protei c, antigen blood|stool icaronate, stool
blirubin, total, bod fluid othr body fluid|bilirubin, total, body fluid other body fluid|eosinophl other body luid
tranferrin blood plasma|tanfrrin blood chemistry|hyphenated urine yeast
glyco a blood|blood a glyco|methemoglobin blood
cholesterol, ascites ascites|cholesterol, ascites ascites|bone cd14 marrow
cells, cd8 percent blood|cels, d8 pecntblod|cd19 bonemarrow
blasts blood|blast blod|urine glucse
protein c-reactive blood|c-ractive proen lood plsm|blood triglycerides
lactate dehydrogenase, ascites ascites|dehydrogenase, lactate ascites ascites l-lactate dehydrogenase|cancer antigen 27.29 blood sr
blood cd20|blood cd20|lood qual ethanol
macrophag joint fluid|fluid jint macrphage|blood sodim
benzodiazepine blood screen|benzodiazepine screen blood|ck-mb blood ck-mb index
macrophage other body fluid|macrophage othe bdy fuid|white bld count bld cells
aumin/creatinine, uine urine|albumin/creatinineurine protein.albumin rine|fat free urine
lactate dehydrogenase, csf csf (csf)|lactate dehydrogenase, csf cerebrospinal fluid (csf)|albumin/creatiine, urine urine
absolute lymphocyte count blood lympho|absolute lymphocyte blood count|cholesterol, blood total
bilirubin, direct blood|direct protein.albumin bilirubin, blood|amylae blod
blood ct bands|blood bands|ur trichmonas une
tobramycin blood|mass concentration blood tobramycin|amylas, joit fluid uid joint syn
body body fluid other sodium, fluid|sodium, bdy fluid other body flui|fibrin degradation products blood
mrrow bone cd5|bone cd5 marrow|cd138 bloo
lymphocyes oter ody fluid|lymphocytes other body fluid quant|blood d-dimer
lactate dehydrogenase, ascites ascites|lactate dehydrogenase, ascites lactic acid ascites|gastroenterology amylasecreatinin ratio, ri urin
anion gap blood quan|anion ag gap bld|ascites dehydrogenase, lactate ascites
blood pco2|blood pco2|lipase, ascites ascites
blood bodies pappenheimer|pappenheimer blood bodies|blood calcium free
pleural pleural level chloride,|chloride, pleural pleural|estradiol blood
factor blood i|factor blood ix|blood basophils
protein electrophoresis blood|prtin elecrohoreis bld|blood oxygen
benzodiazepine screen, qual urine urine|benzodiazepine screen, ur pr urine|cd19 other body fluid
bicarbonate, ascites ascites|qnt ascites ascites bicarbonate,|plsm cholesterol, hdl blood
quant ibody,iga nti-gliadin bld|anti-gladin ibdy, bloo iga|hepatitis b surface antibody blood
calcium, total blood|calcium, totalblood|hemogloblin a blood
hr 24 clcium urine|urine hr calcium quant 24|phosphate, body fluid other body fluid
blood centromere|blood cen centromere|prostate specific antigen serp blood
cerebrospinal fl myelocytes cerebrospinalfld (cf)|myelocytes cerebrospinal fluid (csf)|parathyroid hormone blood
marrw cd103bone|cd103 marrow bone|stool chloride, stool
nrpt) blood|blood inr(pt)|cd2 bone marrow
white blood cells ascie polys|polys ascites|prolactin blood
blood lactate|blood lactate|calcium, urine urine
flui polysjoint|polys joint fluid|amma glutamyltransferase gamma glutamyl transpeptidase blod
acanthocytes blood whole blood|bood acanthocytes ql|joint nrbc fluid
alkaline bod phosphatase|alkaline phosphatase blood|fluid(sf) cebrospina lkcs blasts
white bld count bld cells|whiteblod cels blood|blood cd23
nrbc cerebrospinal fluid (csf)|nrbc nuc cerebrospinal fluid (csf)|electrophoresis protein pan blood
lymphocytes percenblod|lymphoyte,percent blood|myoglobin, urine urine
blood cd13|blood cd13|rbccasts urine
biliruin, diret bloo|bilirubn, direct blood liver|cholesterol urine crystals
anti-mc blood|blood anti-mc|cd8 bone marrow
sickle cell preparation blood|ql prearation cell sick blood|serum hepatitis b surface antibody blood
alculated total co2 blood|clculated tota co2 blood|hyaline casts urine
cd4 marrow bone|cd4 bone marrow|ld, joint fluid joint fluid
protein c-reactive blood|c-reactive protein blood|(csf) cerebrospinal fluid macrophage
f hemoglobin blood pt|hemoglobin f blood|polys ascites
cd3 ther body fluid|other cd3 body fluid|screen porphobilinn urin
polys other body fluid|olysotr point in time fluid bdy|blood gastrin
platelet clumps blood qualitative|clumps platelet blood|quanitative g6pd blood phosphorous
po2, bodyfluidother to2 bodyluid|po2, body fluid ote body fluid|blood ph
white blood cells ascie polys|polys gran ascites|wb smear araite bld bld
blood serum closorin|cyclosporin blood|eosinophils blood
blood lacate|blood lactate 2-hydroxy-propionate|quant ibody,iga nti-gliadin bld
the d19 body fluid|other cd19 body fluid|iron bone stain marrow
pnh sugar water test bld|sugar wte test blood|lactate dehydrogenase (ld) blood
potassium, ascites random ascites|ascites k ascites potassium,|hematocrit, fluid quan fluid other body other
blood gastin|blood gastrin|urea nitrogen blood
blood tota bilrubin,|bilirubin, total blood|urine bacteria
spinal fl fluid csf cerebrospinal rbc, (csf)|rb, csf hematology/cell counts (csf fluid erebrospinal|peral percent monos
fluid joint eosinophils wbcs|eosinophils joint fluid|sugar water test blood
chloride, body fuid othr boy fluid qnt|chloride, body fluid fluid body other|chloride, pleural pleural
bone stain iron marrow|iron stain bone marrow|blood measured osmolality,
blood whole blood anisocytosis|blood anisocytosis|globulin blood
m7 flui body other|fmc7 other body fluid|cholestero, prt ascites ascites
lymphs (cerebrospinal fluid) fluid cerebrospinal wbc|cerebrospinal wbcs lymphs fluid (csf)|blood serplas tobraycin
cd8 bone marrow|marrow bone cd8|ha-dr bonemarrow
creatinine, chemistry pleural pleural|creatinine, pleural pleural|rbc, csf cerebrospinal fluid (csf)
bleedig tie lod|bleeding time blood|lymphoyte,percent blood
macrocytes blood|mcrocytes micro blood|blood micrctes blood
d4 bone marrow|bon cd4 marw|choleserol, pleural peural
chloride, aites scites|chloride, ascites ascites|porphobilinogen qualitative screen urine
urine urine color|color urine urine|cd7 blood
cd14 marrow bone|cd14 marrow bone|the d19 body fluid
anion ag gap bld|blood gap anion|homocysteine blood
total protein, pleural pleural|point in time tota protein, peural plural|factor ii blood
urine acid crystals uric|urine acid crystals uric|anti-mc blood
p other flu bodyfluid|other fl ph body fluid|hypochromia blood
bone cd3 mrrow|cd3 bone marrow|ascites basophils
bicarbonate blood ser|blood bicarboat|thyroid peroxidase antibodies blood aby
free fat urine|urine at fre|protein s, functional blood
troponin t blood universallaborders|t troponin bld|body other cd11c fluid
heiz ody prep bld point in time|heinz body prep body bld|bld neutrohils hyperegmented manl
l-lactate ld, fluid fluid joint joint|fluid joint ld, joint fluid|urine urine myoglobin, ordinal
potassium other body fluid|potassium bod other body fluid|heinz body prep blood
nitrite urine|nirite urine|urine at fre
cd41 other body fluid|fluid other body cd41|cd14 other body fluid
fat free urine|free fat urine|other hla-dr body fluid
polys pleural|pleural polys grans|blood universallaborders i troponin
factr xiii blood|xiii factor blood|bone cd23 marow
phenytoin, perentfee blood|percent phenytoin, free diphenylhydantoin blood|phentoin blood zentropil
osmolality, body fluid other body fluid|osmolality, body flu fluid other body fluid|lactate chemistry csf dehydrogenase, cerebrospinal fluid (csf)
thyroid peroxidase antibodies blood|thyroid blood antibodies peroxidase|hemogloblin a blood
blood cd59|blood cd59|ph urine
troponin t blood universallaborders|troponin blood t|sugar water test blood
urine phosphate crystals triple|urine phosphate crystals triple|acid blood phosphatase
glucose, urine urine|urine urine glucose,|cd19 other body fluid
total cholesterol, blood|colesterl, cholesterols totl bloo|bld ql schistocytes
blood cd33|blood cd33|oxgen blood
cd138 oter body fud|fluid other body cd138|24 hr qnt creatinine urine
fmc-7 bood|fmc-7 blood|mesothelial cells cerebrospinal fluid (csf)
bld serum or plasma albumin|alb albumin blood|urine crystal tyrosine
body other cd7 fluid|cd7 oher body flid|cd3 bone marrow
potssium otherbdy fluid|potassium, body fluid other body fluid flu|polys other body fluid
tal proei, oint fluid oint fluid|total protein, joint fluid joint fluid|beta-2 microglobulin blood
c-ratveproein bood|protein c-reactive blood|von blood factor activity willebrand
bicarbonate, ascites ascites|bicarbonate, ascites ascites quantitative|cd4/cd8 body other ratio fluid
wbc, fluid joint joint fluid random|wbc, joint fluid fluid joint|blood ovalocytes
joint aspirate cratinine jintfuid fluid joint|creatinine, level fluid fluid joint joint|factor blood xii
blood t|pt blood|blood cd19
body other quantitative lymphocytes fluid|lymphocytes other body fluid|body other cd45 fluid
amorphous urine crystals|rystals amorphous urine|amylae blod
total protein, body fluid other body fluid|boy protein, toal bod fluid other bodyfluid|urine urine other crystals,
urine ketone|urine ketone|ntprobnp blood
quant ibody,iga nti-gliadin bld|iga antibody, autoantibodies anti-gliadin blood|bld whole bld ph
potassium, body fluid other body fluid|fluid other body potassium|bone cd15 marrow
flui un body ueanitrogen, other bdy fd|urea nitrogen, point in time body fluid other body fluid|metamyelocytes cerebrospinal (cerebrospinal fluid) fluid
color urine urine|urine color urine|magnesium, urine urine
rne casts,oter urine|urine casts, urine other|fmc7 other body fluid
cd19 bon marrw|cd19 bone marrow|syn wbc, joint fluid jin fluid
inr(pt) blood|inr(pt)blood|immunofixation blood
potassium, urine urine|urinerine ur potasum,|blood kinase (ck) creatine plasma
ni-parietal blood antibody cell aby|anti-parietal cell antibody blood|rheumatoid blood enzyme immunoassay factor
(csf) cerebrospinal fluid macrophage|random macrhae cerebrospina (csf) fluid|ascites k ascites potassium,
cd20 body other fluid|body other cd20 fluid|ascites wbc, count/volume ascites
chloride, whole blood blood|chloride, whole quan bld bld|blood ife immunofixation
red cells blood whole blood blood|red blood blood cells quan|wbc count blood
calculated total co2 bld|calculated total co2 blood|phentoin blood zentropil
renal prot. electrophoresis, urine urine|prot. electrophoresis, urine urine|osmolality, ascites ascites
osmolality, ascites ascites|random osmlality, ascitsascites|estimated gfr (mdrd equation) blood gfr
